record,pclass,survived,sex,age,sibsp,parch,fare,embarked
1,Upper,No,male,61,0,0,32.3208,S
2,Lower,No,male,42,0,0,7.65,S
4,Lower,No,female,39,1,5,31.275,S
7,Upper,Yes,female,49,0,0,25.9292,S
8,Middle,No,male,29,0,0,10.5,S
9,Upper,Yes,male,37,1,1,52.5542,S
10,Middle,Yes,female,20,0,0,36.75,S
11,Upper,No,male,54,0,1,77.2875,S
13,Lower,No,male,2,4,1,39.6875,S
14,Lower,No,male,22.5,0,0,7.225,C
15,Lower,No,male,22,0,0,7.5208,S
17,Middle,No,male,60,1,1,39,S
18,Lower,Yes,female,26,1,1,22.025,S
19,Lower,Yes,female,15,0,0,8.0292,Q
22,Upper,No,male,27,0,2,211.5,C
24,Lower,No,female,31,0,0,7.8542,S
25,Upper,Yes,female,60,1,4,263,S
27,Upper,Yes,female,19,1,0,91.0792,C
28,Lower,No,male,70.5,0,0,7.75,Q
29,Lower,No,female,18,1,0,17.8,S
30,Lower,Yes,female,1,1,1,16.7,S
31,Lower,No,male,14,5,2,46.9,S
32,Lower,Yes,female,16,1,1,8.5167,C
35,Upper,Yes,female,23,1,0,82.2667,S
36,Lower,Yes,male,20,0,0,7.925,S
37,Middle,Yes,male,2,1,1,26,S
39,Middle,Yes,male,8,0,2,32.5,S
41,Upper,Yes,male,24,1,0,82.2667,S
42,Lower,No,male,37,2,0,7.925,S
43,Upper,Yes,female,22,0,1,59.4,C
44,Middle,No,male,59,0,0,13.5,S
45,Upper,No,male,28,0,0,47.1,S
46,Middle,No,female,29,1,0,26,S
47,Upper,No,male,24,0,0,79.2,C
48,Lower,No,male,13,0,2,20.25,S
49,Lower,Yes,male,21,0,0,7.775,S
50,Upper,Yes,male,60,1,1,79.2,C
51,Middle,No,male,28,0,0,13.5,S
52,Upper,Yes,female,24,0,0,69.3,C
53,Lower,No,female,22,0,0,39.6875,S
54,Lower,No,female,39,0,5,29.125,Q
55,Lower,No,male,22,0,0,8.05,S
56,Lower,No,male,25,0,0,7.65,S
57,Lower,No,female,38,4,2,7.775,S
58,Lower,No,male,31,3,0,18,S
59,Middle,No,male,33,0,0,12.275,S
61,Lower,No,male,38,0,0,7.8958,S
63,Lower,No,male,36,0,0,7.8958,S
64,Upper,Yes,female,24,0,0,49.5042,C
67,Upper,Yes,female,33,0,0,86.5,S
69,Lower,No,female,36,0,2,12.1833,S
70,Lower,No,male,40,0,0,7.225,C
72,Lower,No,male,34,0,0,8.05,S
73,Middle,No,male,26,0,0,13,S
74,Upper,Yes,female,52,1,1,93.5,S
76,Middle,No,female,18,1,1,13,S
77,Middle,No,male,23,0,0,10.5,S
78,Middle,Yes,male,30,0,0,12.7375,C
79,Middle,No,male,36,0,0,13,S
80,Lower,No,male,29,0,0,8.05,S
82,Middle,Yes,male,24,0,0,10.5,S
83,Upper,Yes,male,42,0,0,26.2875,S
84,Middle,Yes,male,20,0,0,13.8625,C
86,Upper,Yes,male,28,0,0,35.5,S
88,Lower,No,male,30,0,0,7.8958,S
89,Middle,No,male,26,0,0,13,S
91,Upper,No,male,23,0,0,93.5,S
92,Middle,No,male,40,0,0,13,S
93,Lower,No,female,2,4,2,31.275,S
94,Middle,Yes,female,24,1,2,65,S
95,Lower,No,male,51,0,0,7.75,S
96,Middle,Yes,female,22,1,1,29,S
97,Upper,No,male,47,1,0,227.525,C
98,Upper,Yes,male,35,0,0,26.2875,S
100,Lower,No,male,45,0,0,6.975,S
102,Lower,No,female,45,1,4,27.9,S
103,Lower,No,male,21,0,0,7.8958,S
104,Middle,Yes,female,28,1,0,26,S
105,Middle,Yes,female,34,0,0,10.5,S
106,Middle,No,male,42,1,0,27,S
108,Lower,Yes,male,21,0,0,7.8208,Q
109,Lower,No,male,40,0,0,7.8958,S
112,Upper,No,male,49,0,0,26,S
114,Middle,Yes,female,45,1,1,26.25,S
115,Lower,Yes,male,27,0,0,6.975,S
116,Lower,Yes,female,18,0,0,8.05,S
118,Lower,Yes,female,22,0,0,7.75,S
119,Middle,Yes,female,27,1,0,13.8583,C
120,Lower,No,female,45,0,1,14.4542,C
121,Middle,No,male,22,2,0,31.5,S
122,Middle,Yes,female,28,0,0,12.65,S
123,Middle,No,male,51,0,0,12.525,S
124,Lower,No,male,26,0,0,7.8958,S
125,Middle,Yes,female,6,0,1,33,S
126,Lower,Yes,male,45,0,0,8.05,S
127,Middle,No,male,47,0,0,10.5,S
128,Upper,Yes,female,26,0,0,78.85,S
129,Lower,No,female,25,1,0,7.925,S
130,Lower,No,male,38.5,0,0,7.25,S
131,Middle,Yes,female,19,0,0,13,S
132,Lower,No,male,16,4,1,39.6875,S
134,Lower,No,male,41,0,0,7.125,S
135,Lower,No,female,31,1,0,18,S
136,Middle,No,male,25,0,0,10.5,S
137,Lower,No,male,36,0,0,7.4958,S
138,Lower,No,male,33,0,0,9.5,S
139,Lower,No,female,20,0,0,7.8542,S
140,Lower,No,male,28.5,0,0,16.1,S
141,Middle,Yes,female,42,0,0,13,S
142,Middle,No,male,28,0,0,10.5,S
143,Upper,No,male,42,0,0,42.5,S
144,Lower,Yes,female,30,0,0,12.475,S
145,Upper,No,male,47,0,0,38.5,S
146,Lower,No,female,8,3,1,21.075,S
147,Lower,No,male,39,0,2,7.2292,C
148,Middle,Yes,female,24,1,2,65,S
149,Lower,No,male,16,0,0,8.05,S
150,Lower,No,female,9,4,2,31.275,S
151,Upper,Yes,female,30,0,0,86.5,S
152,Middle,Yes,male,0.8333,1,1,18.75,S
154,Upper,Yes,female,24,0,0,83.1583,C
159,Middle,No,male,30,0,0,13,S
160,Lower,No,female,9,3,2,27.9,S
161,Lower,No,male,21,0,0,7.7333,Q
162,Lower,Yes,female,22,0,0,7.775,S
163,Upper,No,male,24,1,0,60,S
164,Lower,No,male,28,0,0,8.05,S
165,Upper,No,male,41,0,0,30.5,S
167,Middle,No,male,25,0,0,10.5,S
168,Middle,No,male,66,0,0,10.5,S
169,Middle,Yes,female,19,1,0,26,S
170,Lower,No,male,21,1,0,6.4958,S
171,Lower,No,male,7,4,1,39.6875,S
172,Lower,No,male,36,1,0,15.55,S
175,Upper,Yes,male,31,1,0,57,S
176,Lower,Yes,male,25,0,0,7.65,S
177,Upper,No,male,46,0,0,79.2,C
178,Lower,No,male,10,4,1,29.125,Q
179,Upper,Yes,female,35,1,0,52,S
181,Middle,No,male,54,1,0,26,S
182,Lower,Yes,male,32,0,0,8.05,S
183,Upper,No,female,36,0,0,31.6792,C
184,Upper,Yes,male,36,0,0,26.3875,S
186,Middle,No,male,31,1,1,37.0042,C
187,Lower,No,male,30,0,0,8.05,S
188,Middle,No,male,34,0,0,13,S
190,Lower,No,male,39,1,5,31.275,S
192,Lower,Yes,male,32,0,0,56.4958,S
193,Lower,No,male,40.5,0,0,7.75,Q
194,Upper,Yes,male,54,1,0,55.4417,C
195,Upper,Yes,female,33,1,0,53.1,S
196,Upper,Yes,female,53,2,0,51.4792,S
197,Lower,No,male,33,0,0,8.6542,S
198,Upper,No,male,55,1,0,59.4,C
199,Lower,No,male,25,0,0,7.225,C
200,Lower,No,male,40.5,0,2,14.5,S
201,Lower,No,female,3,1,1,13.775,S
202,Upper,Yes,male,48,1,0,52,S
203,Upper,Yes,female,24,0,0,69.3,C
204,Middle,No,male,36,0,0,10.5,S
206,Middle,Yes,male,26,1,1,29,S
207,Lower,No,male,23,0,0,7.05,S
208,Middle,Yes,female,30,1,0,13.8583,C
209,Upper,Yes,female,39,1,1,83.1583,C
210,Upper,No,male,24,0,1,247.5208,C
211,Lower,No,male,17,0,0,7.125,S
212,Lower,No,male,30,0,0,8.05,S
213,Middle,No,male,49,1,2,65,S
214,Lower,Yes,female,29,0,2,15.2458,C
215,Lower,No,male,30,0,0,7.2292,C
217,Lower,No,male,22,0,0,7.125,S
218,Upper,Yes,female,18,1,0,60,S
219,Lower,No,male,22,0,0,7.2292,C
222,Upper,No,male,54,0,0,51.8625,S
223,Lower,Yes,female,19,0,0,7.8792,Q
225,Middle,No,male,54,0,0,14,S
226,Lower,Yes,male,24,0,0,7.1417,S
229,Upper,Yes,female,42,0,0,227.525,C
230,Lower,No,male,24,0,0,9.325,S
231,Lower,No,male,25,1,0,17.8,S
232,Lower,Yes,female,35,1,1,20.25,S
233,Lower,Yes,female,24,1,0,15.85,S
234,Upper,Yes,female,17,1,0,57,S
236,Middle,No,male,24,0,0,13.5,S
237,Upper,No,male,55,0,0,30.5,S
238,Middle,Yes,female,54,1,3,23,S
239,Upper,No,male,48,0,0,50.4958,C
240,Middle,Yes,female,40,0,0,13,S
241,Middle,Yes,male,3,1,1,26,S
242,Middle,No,male,23,0,0,10.5,S
243,Lower,No,male,11,5,2,46.9,S
244,Middle,Yes,female,36,1,0,26,S
245,Lower,No,female,35,0,0,7.75,Q
247,Middle,Yes,female,22,0,0,10.5,S
248,Upper,No,female,2,1,2,151.55,S
249,Lower,No,female,37,0,0,9.5875,S
250,Lower,No,female,14.5,1,0,14.4542,C
251,Middle,Yes,female,25,0,1,26,S
252,Lower,No,female,23,0,0,7.925,S
253,Lower,No,male,10,3,2,27.9,S
254,Lower,No,male,35,0,0,8.05,S
255,Upper,Yes,female,35,1,0,57.75,C
256,Lower,Yes,male,31,0,0,7.925,S
258,Lower,No,male,20,0,0,4.0125,C
259,Upper,Yes,female,39,1,1,79.65,S
260,Middle,No,male,36,0,0,13,S
261,Middle,Yes,female,5,1,2,27.75,S
262,Lower,No,male,32.5,0,0,9.5,S
264,Middle,No,male,30,0,0,13,S
265,Upper,No,male,47,0,0,34.0208,S
266,Lower,No,male,22,0,0,7.25,S
267,Lower,No,male,32,0,0,7.925,S
269,Upper,Yes,female,18,1,0,53.1,S
270,Upper,No,male,55,1,1,93.5,S
271,Lower,Yes,male,24,0,0,7.55,S
273,Lower,No,male,21,0,0,7.8542,S
274,Middle,Yes,female,42,1,0,26,S
275,Lower,No,male,29,0,0,9.4833,S
276,Upper,Yes,female,40,1,1,134.5,C
277,Upper,Yes,male,26,0,0,30,C
279,Lower,No,male,34.5,0,0,7.8292,Q
280,Lower,Yes,female,26,0,0,7.925,S
282,Upper,Yes,female,48,1,1,79.2,C
283,Middle,Yes,female,8,1,1,26,S
284,Upper,No,male,46,0,0,79.2,C
286,Middle,No,male,23,0,0,13,S
287,Lower,Yes,female,22,1,0,13.9,S
288,Upper,No,male,55,0,0,50,S
290,Lower,No,male,31,0,0,7.775,S
291,Upper,No,male,17,0,0,47.1,S
292,Lower,No,female,30,1,0,15.55,S
293,Upper,No,male,45,0,0,35.5,S
296,Lower,Yes,female,36,1,0,17.4,S
297,Lower,No,female,3,3,1,21.075,S
298,Middle,Yes,male,29,0,0,13.8583,C
300,Lower,No,female,30.5,0,0,7.75,Q
301,Middle,No,male,30,0,0,13,S
302,Middle,No,male,57,0,0,13,S
303,Lower,No,male,19,0,0,7.65,S
304,Middle,Yes,female,40,0,0,15.75,S
305,Lower,Yes,female,16,0,0,7.75,Q
306,Upper,Yes,female,18,0,2,79.65,S
307,Upper,No,male,33,0,0,26.55,S
308,Upper,Yes,male,27,0,0,76.7292,C
309,Upper,Yes,female,30,0,0,164.8667,S
310,Middle,No,male,42,1,1,32.5,S
312,Upper,No,male,71,0,0,34.6542,C
313,Middle,Yes,female,14,1,0,30.0708,C
315,Middle,Yes,female,45,0,0,13.5,S
319,Upper,Yes,female,29,0,0,221.7792,S
321,Middle,Yes,female,36,0,0,13,S
322,Upper,Yes,male,34,0,0,26.55,S
323,Middle,No,male,70,0,0,10.5,S
324,Middle,Yes,female,23,0,0,13.7917,C
326,Lower,No,female,26,0,2,13.775,S
328,Lower,No,male,21,0,0,7.75,Q
329,Middle,No,male,24,0,0,13,S
330,Middle,No,male,23,0,0,13,S
331,Lower,No,male,35,0,0,7.05,S
332,Middle,No,female,38,0,0,13,S
333,Lower,No,male,1,5,2,46.9,S
334,Middle,Yes,male,22,0,0,10.5,S
337,Lower,No,male,25,0,0,7.8958,S
338,Lower,No,male,9,5,2,46.9,S
339,Lower,Yes,female,22,1,1,12.2875,S
340,Middle,No,male,23,2,1,11.5,S
342,Upper,No,male,31,1,0,52,S
343,Lower,No,male,24,2,0,24.15,S
344,Lower,Yes,male,14,0,0,9.225,S
346,Lower,Yes,female,18,0,0,7.775,S
347,Lower,No,female,28,0,0,7.8958,S
348,Lower,No,male,29,0,0,7.775,S
349,Middle,Yes,male,8,1,1,36.75,S
350,Lower,Yes,male,27,0,0,8.6625,S
351,Lower,No,male,21,0,0,16.1,S
352,Lower,Yes,female,33,1,2,20.575,S
354,Lower,No,male,36,0,0,7.25,S
355,Lower,No,female,29,0,4,21.075,S
356,Lower,No,male,43,0,0,7.8958,S
357,Upper,Yes,male,23,0,1,63.3583,C
359,Lower,No,male,19,0,0,6.75,Q
360,Upper,Yes,female,50,0,1,247.5208,C
361,Upper,Yes,female,64,0,2,83.1583,C
364,Lower,No,male,36,0,0,9.5,S
365,Middle,No,female,26,1,1,26,S
366,Upper,No,male,56,0,0,26.55,S
367,Middle,No,male,46,0,0,26,S
368,Middle,Yes,male,3,1,1,18.75,S
369,Lower,No,male,45.5,0,0,7.225,C
370,Middle,Yes,male,42,0,0,13,S
371,Upper,Yes,male,36,0,1,512.3292,C
372,Lower,Yes,female,15,0,0,7.225,C
373,Lower,No,male,0.3333,0,2,14.4,S
374,Lower,Yes,female,38,1,5,31.3875,S
375,Upper,Yes,male,42,1,0,52.5542,S
376,Upper,No,male,46,0,0,75.2417,C
377,Lower,No,female,10,0,2,24.15,S
378,Upper,No,male,31,0,0,50.4958,S
379,Middle,No,male,18,0,0,73.5,S
380,Middle,No,male,30,0,0,13,S
381,Lower,No,female,18,0,1,14.4542,C
382,Lower,No,male,42,0,0,7.55,S
383,Middle,Yes,female,48,0,2,36.75,S
386,Lower,No,male,26,0,0,7.775,S
387,Upper,Yes,male,53,1,1,81.8583,S
389,Lower,No,male,26,2,0,8.6625,S
391,Upper,Yes,female,35,0,0,512.3292,C
393,Upper,No,male,49,1,1,110.8833,C
394,Lower,No,male,21,0,0,7.925,S
395,Upper,Yes,female,35,1,0,90,S
396,Lower,No,male,21,0,0,7.925,S
397,Lower,No,female,47,1,0,14.5,S
398,Lower,No,male,47,0,0,9,S
399,Lower,Yes,male,36.5,1,0,17.4,S
400,Lower,No,male,40,1,6,46.9,S
402,Lower,No,male,20,0,0,8.05,S
403,Upper,No,female,25,1,2,151.55,S
404,Lower,No,male,20,0,0,7.05,S
407,Lower,Yes,female,5,0,0,12.475,S
408,Lower,Yes,male,32,0,0,56.4958,S
410,Upper,No,male,41,1,0,51.8625,S
411,Upper,No,male,51,0,1,61.3792,C
412,Lower,No,male,18,0,0,8.6625,S
413,Lower,No,female,23,0,0,8.6625,S
414,Middle,No,male,43,1,1,26.25,S
415,Lower,Yes,male,39,0,0,7.925,S
416,Upper,No,male,65,0,1,61.9792,C
418,Upper,Yes,female,58,0,0,26.55,S
419,Upper,Yes,male,27,1,0,53.1,S
420,Lower,No,male,24,0,0,7.4958,S
422,Upper,No,male,32.5,0,0,211.5,C
426,Upper,No,male,44,2,0,90,Q
427,Lower,No,male,38,0,0,7.05,S
428,Middle,No,male,23,0,0,13,S
429,Lower,No,female,2,0,1,10.4625,S
431,Upper,Yes,female,18,1,0,227.525,C
432,Upper,Yes,female,48,1,3,262.375,C
433,Lower,No,male,5,4,2,31.3875,S
434,Lower,No,male,21,0,0,7.225,C
436,Middle,Yes,female,7,0,2,26.25,S
437,Upper,Yes,male,40,0,0,31,C
438,Middle,No,male,18,0,0,73.5,S
439,Middle,Yes,female,17,0,0,12,C
440,Middle,No,male,54,0,0,26,S
443,Lower,Yes,male,25,0,0,7.2292,C
444,Upper,Yes,female,60,0,0,76.2917,C
445,Middle,No,male,28,0,0,26,S
446,Upper,Yes,female,39,1,0,55.9,S
447,Lower,Yes,female,16,0,0,7.65,S
448,Lower,Yes,male,20,1,1,15.7417,C
449,Lower,No,male,29,0,0,7.925,S
450,Lower,No,male,21,0,0,7.775,S
451,Middle,No,male,34,0,0,13,S
452,Middle,Yes,female,4,1,1,23,S
453,Upper,No,male,33,0,0,5,S
454,Lower,No,male,24,0,0,8.05,S
455,Upper,Yes,female,22,0,1,55,S
456,Middle,No,male,21,0,0,11.5,S
458,Lower,No,male,44,0,0,8.05,S
459,Upper,No,male,37,1,0,53.1,S
460,Lower,No,male,74,0,0,7.775,S
461,Lower,No,male,27,0,0,7.8958,S
462,Upper,Yes,female,36,1,2,120,S
463,Lower,Yes,male,1,1,2,20.575,S
464,Middle,No,male,39,0,0,13,S
465,Lower,No,male,26,0,0,7.8958,S
466,Lower,No,male,24,0,0,7.05,S
468,Middle,No,male,21,2,0,73.5,S
469,Middle,No,male,25,1,2,41.5792,C
470,Upper,Yes,male,36,1,2,120,S
472,Lower,Yes,male,12,1,0,11.2417,C
473,Upper,No,male,36,0,0,40.125,C
474,Upper,Yes,female,49,1,0,76.7292,C
475,Middle,Yes,female,40,1,1,39,S
476,Middle,Yes,female,0.9167,1,2,27.75,S
477,Middle,No,male,27,0,0,13,S
478,Middle,No,male,25,0,0,13,S
479,Lower,No,male,18,1,0,14.4542,C
480,Middle,Yes,female,29,1,0,26,S
481,Middle,No,male,48,0,0,13,S
482,Upper,Yes,female,41,0,0,134.5,C
483,Middle,No,male,25,0,0,13,S
485,Lower,No,male,59,0,0,7.25,S
486,Middle,Yes,female,15,0,2,39,S
487,Lower,Yes,male,25,0,0,0,S
488,Middle,No,male,21,0,0,13,S
490,Middle,No,male,24,2,0,31.5,S
491,Lower,No,male,29,0,0,7.875,S
493,Lower,No,male,16,2,0,18,S
496,Upper,No,male,47,0,0,25.5875,S
497,Lower,Yes,male,32,0,0,7.8542,S
498,Lower,Yes,female,18,0,0,7.2292,C
499,Upper,Yes,female,31,1,0,113.275,C
502,Upper,No,female,50,0,0,28.7125,C
504,Upper,Yes,female,38,0,0,227.525,C
505,Middle,No,male,41,0,0,13,S
507,Middle,No,male,40,1,0,26,S
508,Lower,No,male,21,0,0,8.4333,S
509,Upper,No,male,46,0,0,26,S
510,Lower,No,male,1,4,1,39.6875,S
511,Lower,No,male,38,0,0,8.6625,S
512,Upper,Yes,male,50,2,0,133.65,S
513,Middle,No,male,62,0,0,9.6875,Q
515,Lower,No,male,26,0,0,7.8958,S
516,Lower,No,male,13,4,2,31.3875,S
517,Middle,Yes,female,55,0,0,16,S
518,Lower,Yes,male,3,4,2,31.3875,S
519,Upper,Yes,female,35,1,0,83.475,S
520,Middle,Yes,female,34,1,1,32.5,S
521,Lower,No,male,22,0,0,7.7958,S
522,Lower,No,male,30,0,0,7.25,S
523,Lower,No,male,20.5,0,0,7.25,S
524,Lower,No,female,24,0,0,7.75,Q
525,Lower,No,male,24,0,0,7.775,S
526,Lower,Yes,female,4,0,2,22.025,S
527,Lower,No,female,45,0,0,7.75,S
528,Middle,No,male,35,0,0,12.35,Q
529,Upper,Yes,female,30,0,0,106.425,C
530,Upper,No,male,40,0,0,27.7208,C
531,Lower,Yes,male,26,0,0,7.775,S
