uid,pclass,survived,sex,age,sibsp,parch,fare,embarked,pclass,survived,sex,age,sibsp,parch,fare
1,Upper,No,male,61,0,0,32.3208,S,Upper,No,male,61,0,0,32.3208
2,Lower,No,male,42,0,0,7.65,S,Lower,No,male,42,0,0,7.65
4,Lower,No,female,39,1,5,31.275,S,Lower,No,female,39,1,5,31.275
7,Upper,Yes,female,49,0,0,25.9292,S,Upper,Yes,female,49,0,0,25.9292
8,Middle,No,male,29,0,0,10.5,S,Middle,No,male,29,0,0,10.5
9,Upper,Yes,male,37,1,1,52.5542,S,Upper,Yes,male,37,1,1,52.5542
10,Middle,Yes,female,20,0,0,36.75,S,Middle,Yes,female,20,0,0,36.75
11,Upper,No,male,54,0,1,77.2875,S,Upper,No,male,54,0,1,77.2875
13,Lower,No,male,2,4,1,39.6875,S,Lower,No,male,2,4,1,39.6875
14,Lower,No,male,22.5,0,0,7.225,C,Lower,No,male,22.5,0,0,7.225
15,Lower,No,male,22,0,0,7.5208,S,Lower,No,male,22,0,0,7.5208
17,Middle,No,male,60,1,1,39,S,Middle,No,male,60,1,1,39
18,Lower,Yes,female,26,1,1,22.025,S,Lower,Yes,female,26,1,1,22.025
19,Lower,Yes,female,15,0,0,8.0292,Q,Lower,Yes,female,15,0,0,8.0292
22,Upper,No,male,27,0,2,211.5,C,Upper,No,male,27,0,2,211.5
24,Lower,No,female,31,0,0,7.8542,S,Lower,No,female,31,0,0,7.8542
25,Upper,Yes,female,60,1,4,263,S,Upper,Yes,female,60,1,4,263
27,Upper,Yes,female,19,1,0,91.0792,C,Upper,Yes,female,19,1,0,91.0792
28,Lower,No,male,70.5,0,0,7.75,Q,Lower,No,male,70.5,0,0,7.75
29,Lower,No,female,18,1,0,17.8,S,Lower,No,female,18,1,0,17.8
30,Lower,Yes,female,1,1,1,16.7,S,Lower,Yes,female,1,1,1,16.7
31,Lower,No,male,14,5,2,46.9,S,Lower,No,male,14,5,2,46.9
32,Lower,Yes,female,16,1,1,8.5167,C,Lower,Yes,female,16,1,1,8.5167
35,Upper,Yes,female,23,1,0,82.2667,S,Upper,Yes,female,23,1,0,82.2667
36,Lower,Yes,male,20,0,0,7.925,S,Lower,Yes,male,20,0,0,7.925
37,Middle,Yes,male,2,1,1,26,S,Middle,Yes,male,2,1,1,26
39,Middle,Yes,male,8,0,2,32.5,S,Middle,Yes,male,8,0,2,32.5
41,Upper,Yes,male,24,1,0,82.2667,S,Upper,Yes,male,24,1,0,82.2667
42,Lower,No,male,37,2,0,7.925,S,Lower,No,male,37,2,0,7.925
43,Upper,Yes,female,22,0,1,59.4,C,Upper,Yes,female,22,0,1,59.4
44,Middle,No,male,59,0,0,13.5,S,Middle,No,male,59,0,0,13.5
45,Upper,No,male,28,0,0,47.1,S,Upper,No,male,28,0,0,47.1
46,Middle,No,female,29,1,0,26,S,Middle,No,female,29,1,0,26
47,Upper,No,male,24,0,0,79.2,C,Upper,No,male,24,0,0,79.2
48,Lower,No,male,13,0,2,20.25,S,Lower,No,male,13,0,2,20.25
49,Lower,Yes,male,21,0,0,7.775,S,Lower,Yes,male,21,0,0,7.775
50,Upper,Yes,male,60,1,1,79.2,C,Upper,Yes,male,60,1,1,79.2
51,Middle,No,male,28,0,0,13.5,S,Middle,No,male,28,0,0,13.5
52,Upper,Yes,female,24,0,0,69.3,C,Upper,Yes,female,24,0,0,69.3
53,Lower,No,female,22,0,0,39.6875,S,Lower,No,female,22,0,0,39.6875
54,Lower,No,female,39,0,5,29.125,Q,Lower,No,female,39,0,5,29.125
55,Lower,No,male,22,0,0,8.05,S,Lower,No,male,22,0,0,8.05
56,Lower,No,male,25,0,0,7.65,S,Lower,No,male,25,0,0,7.65
57,Lower,No,female,38,4,2,7.775,S,Lower,No,female,38,4,2,7.775
58,Lower,No,male,31,3,0,18,S,Lower,No,male,31,3,0,18
59,Middle,No,male,33,0,0,12.275,S,Middle,No,male,33,0,0,12.275
61,Lower,No,male,38,0,0,7.8958,S,Lower,No,male,38,0,0,7.8958
63,Lower,No,male,36,0,0,7.8958,S,Lower,No,male,36,0,0,7.8958
64,Upper,Yes,female,24,0,0,49.5042,C,Upper,Yes,female,24,0,0,49.5042
67,Upper,Yes,female,33,0,0,86.5,S,Upper,Yes,female,33,0,0,86.5
69,Lower,No,female,36,0,2,12.1833,S,Lower,No,female,36,0,2,12.1833
70,Lower,No,male,40,0,0,7.225,C,Lower,No,male,40,0,0,7.225
72,Lower,No,male,34,0,0,8.05,S,Lower,No,male,34,0,0,8.05
73,Middle,No,male,26,0,0,13,S,Middle,No,male,26,0,0,13
74,Upper,Yes,female,52,1,1,93.5,S,Upper,Yes,female,52,1,1,93.5
76,Middle,No,female,18,1,1,13,S,Middle,No,female,18,1,1,13
77,Middle,No,male,23,0,0,10.5,S,Middle,No,male,23,0,0,10.5
78,Middle,Yes,male,30,0,0,12.7375,C,Middle,Yes,male,30,0,0,12.7375
79,Middle,No,male,36,0,0,13,S,Middle,No,male,36,0,0,13
80,Lower,No,male,29,0,0,8.05,S,Lower,No,male,29,0,0,8.05
82,Middle,Yes,male,24,0,0,10.5,S,Middle,Yes,male,24,0,0,10.5
83,Upper,Yes,male,42,0,0,26.2875,S,Upper,Yes,male,42,0,0,26.2875
84,Middle,Yes,male,20,0,0,13.8625,C,Middle,Yes,male,20,0,0,13.8625
86,Upper,Yes,male,28,0,0,35.5,S,Upper,Yes,male,28,0,0,35.5
88,Lower,No,male,30,0,0,7.8958,S,Lower,No,male,30,0,0,7.8958
89,Middle,No,male,26,0,0,13,S,Middle,No,male,26,0,0,13
91,Upper,No,male,23,0,0,93.5,S,Upper,No,male,23,0,0,93.5
92,Middle,No,male,40,0,0,13,S,Middle,No,male,40,0,0,13
93,Lower,No,female,2,4,2,31.275,S,Lower,No,female,2,4,2,31.275
94,Middle,Yes,female,24,1,2,65,S,Middle,Yes,female,24,1,2,65
95,Lower,No,male,51,0,0,7.75,S,Lower,No,male,51,0,0,7.75
96,Middle,Yes,female,22,1,1,29,S,Middle,Yes,female,22,1,1,29
97,Upper,No,male,47,1,0,227.525,C,Upper,No,male,47,1,0,227.525
98,Upper,Yes,male,35,0,0,26.2875,S,Upper,Yes,male,35,0,0,26.2875
100,Lower,No,male,45,0,0,6.975,S,Lower,No,male,45,0,0,6.975
102,Lower,No,female,45,1,4,27.9,S,Lower,No,female,45,1,4,27.9
103,Lower,No,male,21,0,0,7.8958,S,Lower,No,male,21,0,0,7.8958
104,Middle,Yes,female,28,1,0,26,S,Middle,Yes,female,28,1,0,26
105,Middle,Yes,female,34,0,0,10.5,S,Middle,Yes,female,34,0,0,10.5
106,Middle,No,male,42,1,0,27,S,Middle,No,male,42,1,0,27
108,Lower,Yes,male,21,0,0,7.8208,Q,Lower,Yes,male,21,0,0,7.8208
109,Lower,No,male,40,0,0,7.8958,S,Lower,No,male,40,0,0,7.8958
112,Upper,No,male,49,0,0,26,S,Upper,No,male,49,0,0,26
114,Middle,Yes,female,45,1,1,26.25,S,Middle,Yes,female,45,1,1,26.25
115,Lower,Yes,male,27,0,0,6.975,S,Lower,Yes,male,27,0,0,6.975
116,Lower,Yes,female,18,0,0,8.05,S,Lower,Yes,female,18,0,0,8.05
118,Lower,Yes,female,22,0,0,7.75,S,Lower,Yes,female,22,0,0,7.75
119,Middle,Yes,female,27,1,0,13.8583,C,Middle,Yes,female,27,1,0,13.8583
120,Lower,No,female,45,0,1,14.4542,C,Lower,No,female,45,0,1,14.4542
121,Middle,No,male,22,2,0,31.5,S,Middle,No,male,22,2,0,31.5
122,Middle,Yes,female,28,0,0,12.65,S,Middle,Yes,female,28,0,0,12.65
123,Middle,No,male,51,0,0,12.525,S,Middle,No,male,51,0,0,12.525
124,Lower,No,male,26,0,0,7.8958,S,Lower,No,male,26,0,0,7.8958
125,Middle,Yes,female,6,0,1,33,S,Middle,Yes,female,6,0,1,33
126,Lower,Yes,male,45,0,0,8.05,S,Lower,Yes,male,45,0,0,8.05
127,Middle,No,male,47,0,0,10.5,S,Middle,No,male,47,0,0,10.5
128,Upper,Yes,female,26,0,0,78.85,S,Upper,Yes,female,26,0,0,78.85
129,Lower,No,female,25,1,0,7.925,S,Lower,No,female,25,1,0,7.925
130,Lower,No,male,38.5,0,0,7.25,S,Lower,No,male,38.5,0,0,7.25
131,Middle,Yes,female,19,0,0,13,S,Middle,Yes,female,19,0,0,13
132,Lower,No,male,16,4,1,39.6875,S,Lower,No,male,16,4,1,39.6875
134,Lower,No,male,41,0,0,7.125,S,Lower,No,male,41,0,0,7.125
135,Lower,No,female,31,1,0,18,S,Lower,No,female,31,1,0,18
136,Middle,No,male,25,0,0,10.5,S,Middle,No,male,25,0,0,10.5
137,Lower,No,male,36,0,0,7.4958,S,Lower,No,male,36,0,0,7.4958
138,Lower,No,male,33,0,0,9.5,S,Lower,No,male,33,0,0,9.5
139,Lower,No,female,20,0,0,7.8542,S,Lower,No,female,20,0,0,7.8542
140,Lower,No,male,28.5,0,0,16.1,S,Lower,No,male,28.5,0,0,16.1
141,Middle,Yes,female,42,0,0,13,S,Middle,Yes,female,42,0,0,13
142,Middle,No,male,28,0,0,10.5,S,Middle,No,male,28,0,0,10.5
143,Upper,No,male,42,0,0,42.5,S,Upper,No,male,42,0,0,42.5
144,Lower,Yes,female,30,0,0,12.475,S,Lower,Yes,female,30,0,0,12.475
145,Upper,No,male,47,0,0,38.5,S,Upper,No,male,47,0,0,38.5
146,Lower,No,female,8,3,1,21.075,S,Lower,No,female,8,3,1,21.075
147,Lower,No,male,39,0,2,7.2292,C,Lower,No,male,39,0,2,7.2292
148,Middle,Yes,female,24,1,2,65,S,Middle,Yes,female,24,1,2,65
149,Lower,No,male,16,0,0,8.05,S,Lower,No,male,16,0,0,8.05
150,Lower,No,female,9,4,2,31.275,S,Lower,No,female,9,4,2,31.275
151,Upper,Yes,female,30,0,0,86.5,S,Upper,Yes,female,30,0,0,86.5
152,Middle,Yes,male,0.8333,1,1,18.75,S,Middle,Yes,male,0.8333,1,1,18.75
154,Upper,Yes,female,24,0,0,83.1583,C,Upper,Yes,female,24,0,0,83.1583
159,Middle,No,male,30,0,0,13,S,Middle,No,male,30,0,0,13
160,Lower,No,female,9,3,2,27.9,S,Lower,No,female,9,3,2,27.9
161,Lower,No,male,21,0,0,7.7333,Q,Lower,No,male,21,0,0,7.7333
162,Lower,Yes,female,22,0,0,7.775,S,Lower,Yes,female,22,0,0,7.775
163,Upper,No,male,24,1,0,60,S,Upper,No,male,24,1,0,60
164,Lower,No,male,28,0,0,8.05,S,Lower,No,male,28,0,0,8.05
165,Upper,No,male,41,0,0,30.5,S,Upper,No,male,41,0,0,30.5
167,Middle,No,male,25,0,0,10.5,S,Middle,No,male,25,0,0,10.5
168,Middle,No,male,66,0,0,10.5,S,Middle,No,male,66,0,0,10.5
169,Middle,Yes,female,19,1,0,26,S,Middle,Yes,female,19,1,0,26
170,Lower,No,male,21,1,0,6.4958,S,Lower,No,male,21,1,0,6.4958
171,Lower,No,male,7,4,1,39.6875,S,Lower,No,male,7,4,1,39.6875
172,Lower,No,male,36,1,0,15.55,S,Lower,No,male,36,1,0,15.55
175,Upper,Yes,male,31,1,0,57,S,Upper,Yes,male,31,1,0,57
176,Lower,Yes,male,25,0,0,7.65,S,Lower,Yes,male,25,0,0,7.65
177,Upper,No,male,46,0,0,79.2,C,Upper,No,male,46,0,0,79.2
178,Lower,No,male,10,4,1,29.125,Q,Lower,No,male,10,4,1,29.125
179,Upper,Yes,female,35,1,0,52,S,Upper,Yes,female,35,1,0,52
181,Middle,No,male,54,1,0,26,S,Middle,No,male,54,1,0,26
182,Lower,Yes,male,32,0,0,8.05,S,Lower,Yes,male,32,0,0,8.05
183,Upper,No,female,36,0,0,31.6792,C,Upper,No,female,36,0,0,31.6792
184,Upper,Yes,male,36,0,0,26.3875,S,Upper,Yes,male,36,0,0,26.3875
186,Middle,No,male,31,1,1,37.0042,C,Middle,No,male,31,1,1,37.0042
187,Lower,No,male,30,0,0,8.05,S,Lower,No,male,30,0,0,8.05
188,Middle,No,male,34,0,0,13,S,Middle,No,male,34,0,0,13
190,Lower,No,male,39,1,5,31.275,S,Lower,No,male,39,1,5,31.275
192,Lower,Yes,male,32,0,0,56.4958,S,Lower,Yes,male,32,0,0,56.4958
193,Lower,No,male,40.5,0,0,7.75,Q,Lower,No,male,40.5,0,0,7.75
194,Upper,Yes,male,54,1,0,55.4417,C,Upper,Yes,male,54,1,0,55.4417
195,Upper,Yes,female,33,1,0,53.1,S,Upper,Yes,female,33,1,0,53.1
196,Upper,Yes,female,53,2,0,51.4792,S,Upper,Yes,female,53,2,0,51.4792
197,Lower,No,male,33,0,0,8.6542,S,Lower,No,male,33,0,0,8.6542
198,Upper,No,male,55,1,0,59.4,C,Upper,No,male,55,1,0,59.4
199,Lower,No,male,25,0,0,7.225,C,Lower,No,male,25,0,0,7.225
200,Lower,No,male,40.5,0,2,14.5,S,Lower,No,male,40.5,0,2,14.5
201,Lower,No,female,3,1,1,13.775,S,Lower,No,female,3,1,1,13.775
202,Upper,Yes,male,48,1,0,52,S,Upper,Yes,male,48,1,0,52
203,Upper,Yes,female,24,0,0,69.3,C,Upper,Yes,female,24,0,0,69.3
204,Middle,No,male,36,0,0,10.5,S,Middle,No,male,36,0,0,10.5
206,Middle,Yes,male,26,1,1,29,S,Middle,Yes,male,26,1,1,29
207,Lower,No,male,23,0,0,7.05,S,Lower,No,male,23,0,0,7.05
208,Middle,Yes,female,30,1,0,13.8583,C,Middle,Yes,female,30,1,0,13.8583
209,Upper,Yes,female,39,1,1,83.1583,C,Upper,Yes,female,39,1,1,83.1583
210,Upper,No,male,24,0,1,247.5208,C,Upper,No,male,24,0,1,247.5208
211,Lower,No,male,17,0,0,7.125,S,Lower,No,male,17,0,0,7.125
212,Lower,No,male,30,0,0,8.05,S,Lower,No,male,30,0,0,8.05
213,Middle,No,male,49,1,2,65,S,Middle,No,male,49,1,2,65
214,Lower,Yes,female,29,0,2,15.2458,C,Lower,Yes,female,29,0,2,15.2458
215,Lower,No,male,30,0,0,7.2292,C,Lower,No,male,30,0,0,7.2292
217,Lower,No,male,22,0,0,7.125,S,Lower,No,male,22,0,0,7.125
218,Upper,Yes,female,18,1,0,60,S,Upper,Yes,female,18,1,0,60
219,Lower,No,male,22,0,0,7.2292,C,Lower,No,male,22,0,0,7.2292
222,Upper,No,male,54,0,0,51.8625,S,Upper,No,male,54,0,0,51.8625
223,Lower,Yes,female,19,0,0,7.8792,Q,Lower,Yes,female,19,0,0,7.8792
225,Middle,No,male,54,0,0,14,S,Middle,No,male,54,0,0,14
226,Lower,Yes,male,24,0,0,7.1417,S,Lower,Yes,male,24,0,0,7.1417
229,Upper,Yes,female,42,0,0,227.525,C,Upper,Yes,female,42,0,0,227.525
230,Lower,No,male,24,0,0,9.325,S,Lower,No,male,24,0,0,9.325
231,Lower,No,male,25,1,0,17.8,S,Lower,No,male,25,1,0,17.8
232,Lower,Yes,female,35,1,1,20.25,S,Lower,Yes,female,35,1,1,20.25
233,Lower,Yes,female,24,1,0,15.85,S,Lower,Yes,female,24,1,0,15.85
234,Upper,Yes,female,17,1,0,57,S,Upper,Yes,female,17,1,0,57
236,Middle,No,male,24,0,0,13.5,S,Middle,No,male,24,0,0,13.5
237,Upper,No,male,55,0,0,30.5,S,Upper,No,male,55,0,0,30.5
238,Middle,Yes,female,54,1,3,23,S,Middle,Yes,female,54,1,3,23
239,Upper,No,male,48,0,0,50.4958,C,Upper,No,male,48,0,0,50.4958
240,Middle,Yes,female,40,0,0,13,S,Middle,Yes,female,40,0,0,13
241,Middle,Yes,male,3,1,1,26,S,Middle,Yes,male,3,1,1,26
242,Middle,No,male,23,0,0,10.5,S,Middle,No,male,23,0,0,10.5
243,Lower,No,male,11,5,2,46.9,S,Lower,No,male,11,5,2,46.9
244,Middle,Yes,female,36,1,0,26,S,Middle,Yes,female,36,1,0,26
245,Lower,No,female,35,0,0,7.75,Q,Lower,No,female,35,0,0,7.75
247,Middle,Yes,female,22,0,0,10.5,S,Middle,Yes,female,22,0,0,10.5
248,Upper,No,female,2,1,2,151.55,S,Upper,No,female,2,1,2,151.55
249,Lower,No,female,37,0,0,9.5875,S,Lower,No,female,37,0,0,9.5875
250,Lower,No,female,14.5,1,0,14.4542,C,Lower,No,female,14.5,1,0,14.4542
251,Middle,Yes,female,25,0,1,26,S,Middle,Yes,female,25,0,1,26
252,Lower,No,female,23,0,0,7.925,S,Lower,No,female,23,0,0,7.925
253,Lower,No,male,10,3,2,27.9,S,Lower,No,male,10,3,2,27.9
254,Lower,No,male,35,0,0,8.05,S,Lower,No,male,35,0,0,8.05
255,Upper,Yes,female,35,1,0,57.75,C,Upper,Yes,female,35,1,0,57.75
256,Lower,Yes,male,31,0,0,7.925,S,Lower,Yes,male,31,0,0,7.925
258,Lower,No,male,20,0,0,4.0125,C,Lower,No,male,20,0,0,4.0125
259,Upper,Yes,female,39,1,1,79.65,S,Upper,Yes,female,39,1,1,79.65
260,Middle,No,male,36,0,0,13,S,Middle,No,male,36,0,0,13
261,Middle,Yes,female,5,1,2,27.75,S,Middle,Yes,female,5,1,2,27.75
262,Lower,No,male,32.5,0,0,9.5,S,Lower,No,male,32.5,0,0,9.5
264,Middle,No,male,30,0,0,13,S,Middle,No,male,30,0,0,13
265,Upper,No,male,47,0,0,34.0208,S,Upper,No,male,47,0,0,34.0208
266,Lower,No,male,22,0,0,7.25,S,Lower,No,male,22,0,0,7.25
267,Lower,No,male,32,0,0,7.925,S,Lower,No,male,32,0,0,7.925
269,Upper,Yes,female,18,1,0,53.1,S,Upper,Yes,female,18,1,0,53.1
270,Upper,No,male,55,1,1,93.5,S,Upper,No,male,55,1,1,93.5
271,Lower,Yes,male,24,0,0,7.55,S,Lower,Yes,male,24,0,0,7.55
273,Lower,No,male,21,0,0,7.8542,S,Lower,No,male,21,0,0,7.8542
274,Middle,Yes,female,42,1,0,26,S,Middle,Yes,female,42,1,0,26
275,Lower,No,male,29,0,0,9.4833,S,Lower,No,male,29,0,0,9.4833
276,Upper,Yes,female,40,1,1,134.5,C,Upper,Yes,female,40,1,1,134.5
277,Upper,Yes,male,26,0,0,30,C,Upper,Yes,male,26,0,0,30
279,Lower,No,male,34.5,0,0,7.8292,Q,Lower,No,male,34.5,0,0,7.8292
280,Lower,Yes,female,26,0,0,7.925,S,Lower,Yes,female,26,0,0,7.925
282,Upper,Yes,female,48,1,1,79.2,C,Upper,Yes,female,48,1,1,79.2
283,Middle,Yes,female,8,1,1,26,S,Middle,Yes,female,8,1,1,26
284,Upper,No,male,46,0,0,79.2,C,Upper,No,male,46,0,0,79.2
286,Middle,No,male,23,0,0,13,S,Middle,No,male,23,0,0,13
287,Lower,Yes,female,22,1,0,13.9,S,Lower,Yes,female,22,1,0,13.9
288,Upper,No,male,55,0,0,50,S,Upper,No,male,55,0,0,50
290,Lower,No,male,31,0,0,7.775,S,Lower,No,male,31,0,0,7.775
291,Upper,No,male,17,0,0,47.1,S,Upper,No,male,17,0,0,47.1
292,Lower,No,female,30,1,0,15.55,S,Lower,No,female,30,1,0,15.55
293,Upper,No,male,45,0,0,35.5,S,Upper,No,male,45,0,0,35.5
296,Lower,Yes,female,36,1,0,17.4,S,Lower,Yes,female,36,1,0,17.4
297,Lower,No,female,3,3,1,21.075,S,Lower,No,female,3,3,1,21.075
298,Middle,Yes,male,29,0,0,13.8583,C,Middle,Yes,male,29,0,0,13.8583
300,Lower,No,female,30.5,0,0,7.75,Q,Lower,No,female,30.5,0,0,7.75
301,Middle,No,male,30,0,0,13,S,Middle,No,male,30,0,0,13
302,Middle,No,male,57,0,0,13,S,Middle,No,male,57,0,0,13
303,Lower,No,male,19,0,0,7.65,S,Lower,No,male,19,0,0,7.65
304,Middle,Yes,female,40,0,0,15.75,S,Middle,Yes,female,40,0,0,15.75
305,Lower,Yes,female,16,0,0,7.75,Q,Lower,Yes,female,16,0,0,7.75
306,Upper,Yes,female,18,0,2,79.65,S,Upper,Yes,female,18,0,2,79.65
307,Upper,No,male,33,0,0,26.55,S,Upper,No,male,33,0,0,26.55
308,Upper,Yes,male,27,0,0,76.7292,C,Upper,Yes,male,27,0,0,76.7292
309,Upper,Yes,female,30,0,0,164.8667,S,Upper,Yes,female,30,0,0,164.8667
310,Middle,No,male,42,1,1,32.5,S,Middle,No,male,42,1,1,32.5
312,Upper,No,male,71,0,0,34.6542,C,Upper,No,male,71,0,0,34.6542
313,Middle,Yes,female,14,1,0,30.0708,C,Middle,Yes,female,14,1,0,30.0708
315,Middle,Yes,female,45,0,0,13.5,S,Middle,Yes,female,45,0,0,13.5
319,Upper,Yes,female,29,0,0,221.7792,S,Upper,Yes,female,29,0,0,221.7792
321,Middle,Yes,female,36,0,0,13,S,Middle,Yes,female,36,0,0,13
322,Upper,Yes,male,34,0,0,26.55,S,Upper,Yes,male,34,0,0,26.55
323,Middle,No,male,70,0,0,10.5,S,Middle,No,male,70,0,0,10.5
324,Middle,Yes,female,23,0,0,13.7917,C,Middle,Yes,female,23,0,0,13.7917
326,Lower,No,female,26,0,2,13.775,S,Lower,No,female,26,0,2,13.775
328,Lower,No,male,21,0,0,7.75,Q,Lower,No,male,21,0,0,7.75
329,Middle,No,male,24,0,0,13,S,Middle,No,male,24,0,0,13
330,Middle,No,male,23,0,0,13,S,Middle,No,male,23,0,0,13
331,Lower,No,male,35,0,0,7.05,S,Lower,No,male,35,0,0,7.05
332,Middle,No,female,38,0,0,13,S,Middle,No,female,38,0,0,13
333,Lower,No,male,1,5,2,46.9,S,Lower,No,male,1,5,2,46.9
334,Middle,Yes,male,22,0,0,10.5,S,Middle,Yes,male,22,0,0,10.5
337,Lower,No,male,25,0,0,7.8958,S,Lower,No,male,25,0,0,7.8958
338,Lower,No,male,9,5,2,46.9,S,Lower,No,male,9,5,2,46.9
339,Lower,Yes,female,22,1,1,12.2875,S,Lower,Yes,female,22,1,1,12.2875
340,Middle,No,male,23,2,1,11.5,S,Middle,No,male,23,2,1,11.5
342,Upper,No,male,31,1,0,52,S,Upper,No,male,31,1,0,52
343,Lower,No,male,24,2,0,24.15,S,Lower,No,male,24,2,0,24.15
344,Lower,Yes,male,14,0,0,9.225,S,Lower,Yes,male,14,0,0,9.225
346,Lower,Yes,female,18,0,0,7.775,S,Lower,Yes,female,18,0,0,7.775
347,Lower,No,female,28,0,0,7.8958,S,Lower,No,female,28,0,0,7.8958
348,Lower,No,male,29,0,0,7.775,S,Lower,No,male,29,0,0,7.775
349,Middle,Yes,male,8,1,1,36.75,S,Middle,Yes,male,8,1,1,36.75
350,Lower,Yes,male,27,0,0,8.6625,S,Lower,Yes,male,27,0,0,8.6625
351,Lower,No,male,21,0,0,16.1,S,Lower,No,male,21,0,0,16.1
352,Lower,Yes,female,33,1,2,20.575,S,Lower,Yes,female,33,1,2,20.575
354,Lower,No,male,36,0,0,7.25,S,Lower,No,male,36,0,0,7.25
355,Lower,No,female,29,0,4,21.075,S,Lower,No,female,29,0,4,21.075
356,Lower,No,male,43,0,0,7.8958,S,Lower,No,male,43,0,0,7.8958
